cod_mun,mun,longitude,latitude
1100015,ALTA FLORESTA D'OESTE,-61.9998238962936,-11.935540304764599
1100023,ARIQUEMES,-63.0332692780484,-9.908462866567199
1100031,CABIXI,-60.544313581200896,-13.4997634596963
1100049,CACOAL,-61.44294421182239,-11.4338650286852
1100056,CEREJEIRAS,-60.818426164681505,-13.1950330320399
1100064,COLORADO DO OESTE,-60.5550674630789,-13.1305638414553
1100072,CORUMBIARA,-60.9487011706614,-12.9975202364834
1100080,COSTA MARQUES,-64.23165393911721,-12.4360138777142
1100098,ESPIGÃO D'OESTE,-61.020173113284706,-11.528554633347301
1100106,GUAJARÁ-MIRIM,-65.3239518196923,-10.7738837406705
1100114,JARU,-62.4762307081317,-10.4359487678844
1100122,JI-PARANÁ,-61.9450945826841,-10.882051318349
1100130,MACHADINHO D'OESTE,-61.9995925724466,-9.42556248
1100148,NOVA BRASILÂNDIA D'OESTE,-62.308230163019,-11.7213254138559
1100155,OURO PRETO DO OESTE,-62.261055190436295,-10.7235739008135
1100189,PIMENTA BUENO,-61.183665673642,-11.67753699
1100205,PORTO VELHO,-63.831445654361104,-8.76889179
1100254,PRESIDENTE MÉDICI,-61.9094386835298,-11.173205016226802
1100262,RIO CRESPO,-62.9000103659589,-9.70553670973949
1100288,ROLIM DE MOURA,-61.78578093518539,-11.722258913380802
1100296,SANTA LUZIA D'OESTE,-61.773305463054506,-11.908423332469
1100304,VILHENA,-60.1385838660987,-12.7413734718029
1100320,SÃO MIGUEL DO GUAPORÉ,-62.7200634814364,-11.6994897438059
1100338,NOVA MAMORÉ,-65.32914902314671,-10.4117712947002
1100346,ALVORADA D'OESTE,-62.2772748656972,-11.344130023433399
1100379,ALTO ALEGRE DOS PARECIS,-61.853077168603,-12.131777224570902
1100403,ALTO PARAÍSO,-63.3176294334976,-9.71666673807728
1100452,BURITIS,-63.8296787917565,-10.2098054072356
1100502,NOVO HORIZONTE DO OESTE,-61.9943876627606,-11.709742920015199
1100601,CACAULÂNDIA,-62.9031899345687,-10.3388728393928
1100700,CAMPO NOVO DE RONDÔNIA,-63.6249914265426,-10.5684164693485
1100809,CANDEIAS DO JAMARI,-63.7000200718298,-8.78502070347748
1100908,CASTANHEIRAS,-61.94916119646621,-11.4268422254625
1100924,CHUPINGUAIA,-60.901847749955394,-12.5568407610938
1100940,CUJUBIM,-62.5871745319209,-9.37819339905712
1101005,GOVERNADOR JORGE TEIXEIRA,-62.74045763946321,-10.6120717726075
1101104,ITAPUÃ DO OESTE,-63.1823370165183,-9.19187167532785
1101203,MINISTRO ANDREAZZA,-61.51892193010529,-11.1962379841591
1101302,MIRANTE DA SERRA,-62.66942709525661,-11.045609289937
1101401,MONTE NEGRO,-63.295559167217505,-10.263097755883
1101435,NOVA UNIÃO,-62.55508939888001,-10.9155320416628
1101450,PARECIS,-61.597997972677604,-12.1798270507077
1101468,PIMENTEIRAS DO OESTE,-61.04437900253839,-13.4765620024615
1101476,PRIMAVERA DE RONDÔNIA,-61.316546242916495,-11.8257069542468
1101484,SÃO FELIPE D'OESTE,-61.5125081133327,-11.914389354688598
1101492,SÃO FRANCISCO DO GUAPORÉ,-63.570864710764894,-12.0637984122334
1101500,SERINGUEIRAS,-63.03876099770721,-11.767116635607
1101559,TEIXEIRÓPOLIS,-62.2559222539546,-10.932169286039901
1101609,THEOBROMA,-62.3451455299349,-10.2487305520261
1101708,URUPÁ,-62.370632453766696,-11.1285452756794
1101757,VALE DO ANARI,-62.1768234421278,-9.85139270806179
1101807,VALE DO PARAÍSO,-62.1343903568099,-10.4310526845565
1200013,ACRELÂNDIA,-67.0523165800206,-10.0737938924635
1200054,ASSIS BRASIL,-69.5634591746677,-10.9428656809172
1200104,BRASILÉIA,-68.7479434259584,-11.016411019085801
1200138,BUJARI,-67.9518592792015,-9.820019626709382
1200179,CAPIXABA,-67.67350797194321,-10.569767708792801
1200203,CRUZEIRO DO SUL,-72.6725313174358,-7.63069000500981
1200252,EPITACIOLÂNDIA,-68.7448680666749,-11.0282398279564
1200302,FEIJÓ,-70.3539836082165,-8.16024753
1200328,JORDÃO,-71.9508751248365,-9.193357859828481
1200336,MÂNCIO LIMA,-72.9165010261308,-7.59322259385836
1200344,MANOEL URBANO,-69.2599445775075,-8.83631773689166
1200351,MARECHAL THAUMATURGO,-72.7902659086983,-8.953591123153661
1200385,PLÁCIDO DE CASTRO,-67.1882600861516,-10.3351332827427
1200393,PORTO WALTER,-72.7423339648033,-8.26666636282753
1200401,RIO BRANCO,-67.8105287004235,-9.97829875272498
1200427,RODRIGUES ALVES,-72.64785491419971,-7.733602033723219
1200435,SANTA ROSA DO PURUS,-70.4864968937616,-9.44340653741185
1200450,SENADOR GUIOMARD,-67.7431723600051,-10.1481735861989
1200500,SENA MADUREIRA,-68.655684061692,-9.065339505
1200609,TARAUACÁ,-70.7555010628937,-8.15566859176562
1200708,XAPURI,-68.5062948050463,-10.6520719403355
1200807,PORTO ACRE,-67.5405900835194,-9.600858231187882
1300029,ALVARÃES,-64.8135346775686,-3.2165837690663905
1300060,AMATURÁ,-68.2096146409404,-3.36680518750561
1300086,ANAMÃ,-61.4059034797501,-3.57637042689027
1300102,ANORI,-61.658955382877906,-3.74538558611889
1300144,APUÍ,-59.8856661047188,-7.197870151607599
1300201,ATALAIA DO NORTE,-70.1879892845226,-4.36615748971603
1300300,AUTAZES,-59.1335670918168,-3.57866364177127
1300409,BARCELOS,-62.9256696581026,-0.972801052532191
1300508,BARREIRINHA,-57.0677504898938,-2.7981498369298
1300607,BENJAMIN CONSTANT,-70.0273484332765,-4.374989018603911
1300631,BERURI,-61.3715708916659,-3.89451340981806
